,Unnamed: 0,Unnamed: 0.1,date,hour,tweet,linea,estacion,polarity
204,204,204,06-nov-19,22:14:46,"@MetroCDMX que onda??
En la línea A hay unos niños arrastrándose pidiendo dinero, siento pena por los niños pero no es posible que los permitan estar dentro del stc, fomentan a que cada vez haya más explotación infantil.A la niña le preguntaron donde está su mamá,Ni siquiera está",linea3 ,niños niños ,0
206,206,206,06-nov-19,22:18:44,"Esto 🐶 💖 👏 👇🏼

Este perrito quedó atrapado a 8 metros de altura en un cajón de vías en la estación #Nopalera de la Línea 12; fue rescatado sano y salvo y fue trasladado al Centro de Transferencia Canina @MetroCDMX https://t.co/LxOy7FWzDO",linea12,Centro Centro Nopalera ,0
208,208,208,06-nov-19,22:19:47,"Oye @Claudiashein nos harías un parote si nos pones el @MetroCDMX hasta las 3 am los días del @CoronaCapital 
Hay chance?",linea3,,1
212,212,212,06-nov-19,22:21:40,"Ceremonia Del Décimo Aniversario Del Instituto Tecnologíco De Iztapalapa #aniversario #rumba
@TecNMOficial @itiztapalapa 
@MQuinteroq 
@MetroCDMX https://t.co/leuXkFTFX4",linea8 ,Iztapalapa ,0
217,217,217,06-nov-19,22:24:36,"@MetroCDMX que pasa con el metro estacion guerrero,hay mucho humo.",linea3 ,guerrero guerrero ,0
218,218,218,06-nov-19,22:24:42,@MetroCDMX Porque esta parada la línea 3 hijos de la chingada ya son 10 min. Pendejos,linea3,,0
225,225,225,06-nov-19,22:30:43,"En la estación Autobuses del Norte línea 5 del @MetroCDMX un usuario fue golpeado y robado por varias personas, le quitaron su teléfono, su mochila y le provocaron una fractura en el pie derecho, @SSP_CDMX de la estación detuvo a un joven menor de edad quien participó en el robo. https://t.co/qfWJT05BFy",linea5,Norte Autobuses ,0
226,226,226,06-nov-19,22:30:48,"@MetroCDMX se cayó una lámpara del vagón con serie N 1586 
Está en éste momento en estación Mixiuhca dirección Pantitlán. https://t.co/7luCMV3YQM",linea9 ,Mixiuhca ,0
229,229,229,06-nov-19,22:37:09,"@FirenzeM @MetroCDMX  en serio neta 😠😠que onda con las escaleras eléctricas por qué no las arreglan ,estás ya tienen más de 1 mes #linea2 #Hidalgo o están ahorrando ? https://t.co/zc1MZEEaiA",linea2,Hidalgo Hidalgo ,1
232,232,232,06-nov-19,22:39:15,"Esto 🐶 💖 👏 👇🏼

Este perrito quedó atrapado a 8 metros de altura en un cajón de vías en la estación #Nopalera de la Línea 12; fue rescatado sano y salvo y fue trasladado al Centro de Transferencia Canina @MetroCDMX https://t.co/LxOy7FWzDO",linea12,Centro Centro Nopalera ,0
238,238,238,06-nov-19,22:41:46,"En la estación Autobuses del Norte línea 5 del @MetroCDMX un usuario fue golpeado y robado por varias personas, le quitaron su teléfono, su mochila y le provocaron una fractura en el pie derecho, @SSP_CDMX de la estación detuvo a un joven menor de edad quien participó en el robo. https://t.co/qfWJT05BFy",linea5,Norte Autobuses ,0
241,241,241,06-nov-19,22:43:55,"@MetroCDMX @CiroGomezL @YuririaSierra
Esta persona nos agredió en el metro zapata y quien directamente agredió verbalmente y de golpes a mi madre de 50 años quien es diabetica y ahora nos está difamando vía redes sociales y estamos dispuesto a hacer el proceso legal. https://t.co/x4gkneCmV5",linea3 ,zapata zapata ,0
242,242,242,06-nov-19,22:45:27,"Esto 🐶 💖 👏 👇🏼

Este perrito quedó atrapado a 8 metros de altura en un cajón de vías en la estación #Nopalera de la Línea 12; fue rescatado sano y salvo y fue trasladado al Centro de Transferencia Canina @MetroCDMX https://t.co/LxOy7FWzDO",linea12,Centro Centro Nopalera ,0
247,247,247,06-nov-19,22:47:17,"@MetroCDMX Muy bien! Ahora pueden arreglar las escaleras eléctricas de la estación parque de los venados, dirección a Tlahuac? Llevan más de dos semanas sin funcionar!",linea12 ,venados Tlahuac ,1
249,249,249,06-nov-19,22:48:24,¿Cuántas veces tendré que twittear que las escaleras eléctricas del #copilco #L3 no funcionan? Desde agosto a lo que va de noviembre fácil funcionaron semana y media. @MetroCDMX,linea3,copilco ,0
251,251,251,06-nov-19,22:49:19,"Esto 🐶 💖 👏 👇🏼

Este perrito quedó atrapado a 8 metros de altura en un cajón de vías en la estación #Nopalera de la Línea 12; fue rescatado sano y salvo y fue trasladado al Centro de Transferencia Canina @MetroCDMX https://t.co/LxOy7FWzDO",linea12,Centro Centro Nopalera ,0
253,253,253,06-nov-19,22:51:35,"¿Y esto @MetroCDMX ?
Es en la #L1 vagón 1934",linea1,,0
254,254,254,06-nov-19,22:53:39,"¿Y esto @MetroCDMX ? 
Está en la #L1 vagón 1934 https://t.co/fcrCLX8y8O",linea1,,0
255,255,255,06-nov-19,22:54:00,@MetroCDMX favor de hacer reporte. El conductor viene dando unos enfrenones. Vagón 2283 línea rosa ahora De  Isabel a pino Suárez,linea1,Isabel pino pino ,0
256,256,256,06-nov-19,22:54:12,"En la Línea 1 del @MetroCDMX, se están realizando pruebas de los nuevos trenes que circularán desde Pantitlán a Observatorio.
Son unidades que se ven 👌 y ayudarán a reducir tiempos en los trayectos. ¡Enhorabuena! 🚇 https://t.co/MzZKzXU33o",linea1,,1
258,258,258,06-nov-19,22:55:23,@MetroCDMX persona en evidente estado de ebriedad en la línea 2 llegando a la estación zócalo,linea2,,0
259,259,259,06-nov-19,22:55:37,"Esto 🐶 💖 👏 👇🏼

Este perrito quedó atrapado a 8 metros de altura en un cajón de vías en la estación #Nopalera de la Línea 12; fue rescatado sano y salvo y fue trasladado al Centro de Transferencia Canina @MetroCDMX https://t.co/LxOy7FWzDO",linea12,Centro Centro Nopalera ,0
262,262,262,06-nov-19,22:57:44,"En la estación Autobuses del Norte línea 5 del @MetroCDMX un usuario fue golpeado y robado por varias personas, le quitaron su teléfono, su mochila y le provocaron una fractura en el pie derecho, @SSP_CDMX de la estación detuvo a un joven menor de edad quien participó en el robo. https://t.co/qfWJT05BFy",linea5,Norte Autobuses ,0
266,266,266,06-nov-19,22:59:05,"En la estación Autobuses del Norte línea 5 del @MetroCDMX un usuario fue golpeado y robado por varias personas, le quitaron su teléfono, su mochila y le provocaron una fractura en el pie derecho, @SSP_CDMX de la estación detuvo a un joven menor de edad quien participó en el robo. https://t.co/qfWJT05BFy",linea5,Norte Autobuses ,0
270,270,270,06-nov-19,23:02:43,"En la estación Autobuses del Norte línea 5 del @MetroCDMX un usuario fue golpeado y robado por varias personas, le quitaron su teléfono, su mochila y le provocaron una fractura en el pie derecho, @SSP_CDMX de la estación detuvo a un joven menor de edad quien participó en el robo. https://t.co/qfWJT05BFy",linea5,Norte Autobuses ,0
285,285,285,06-nov-19,23:09:18,"Esto 🐶 💖 👏 👇🏼

Este perrito quedó atrapado a 8 metros de altura en un cajón de vías en la estación #Nopalera de la Línea 12; fue rescatado sano y salvo y fue trasladado al Centro de Transferencia Canina @MetroCDMX https://t.co/LxOy7FWzDO",linea12,Centro Centro Nopalera ,0
286,286,286,06-nov-19,23:16:22,"En la estación Autobuses del Norte línea 5 del @MetroCDMX un usuario fue golpeado y robado por varias personas, le quitaron su teléfono, su mochila y le provocaron una fractura en el pie derecho, @SSP_CDMX de la estación detuvo a un joven menor de edad quien participó en el robo. https://t.co/qfWJT05BFy",linea5,Norte Autobuses ,0
288,288,288,06-nov-19,23:17:46,@MetroCDMX @LATREMENDAKORTE No seas mamón ... Y uno acá en Balderas!!! Jajajajajaja,linea1 ,Balderas Balderas ,0
291,291,291,06-nov-19,23:20:08,"@MetroCDMX Y si el conductor de la linea 1, deja de revisar su celular un rato, no le va a pasar nada. Y conduce para que lleguemos a nuestro destino, esto en dirección Observatorio
Gracias por su atención",linea1,Observatorio ,0
294,294,294,06-nov-19,23:21:33,"Personal de Protección Civil y Seguridad Institucional del @MetroCDMX rescató hoy al medio día a un can atrapado en el exterior del cajón de vías de la estación Nopalera, en el tramo elevado de la Línea 12.

#UnoNoticias https://t.co/MCdbNQl4ii",linea12 ,Nopalera ,0
297,297,297,06-nov-19,23:23:45,@MetroCDMX  que onda? Hay vendedores ambulantes en los vagones linea 3 indios verdes universidad,linea3,indios verdes universidad ,0
302,302,302,06-nov-19,23:26:42,"En la estación Autobuses del Norte línea 5 del @MetroCDMX un usuario fue golpeado y robado por varias personas, le quitaron su teléfono, su mochila y le provocaron una fractura en el pie derecho, @SSP_CDMX de la estación detuvo a un joven menor de edad quien participó en el robo. https://t.co/qfWJT05BFy",linea5,Norte Autobuses ,0
303,303,303,06-nov-19,23:26:45,"Personal de Protección Civil y Seguridad Institucional del @MetroCDMX rescató hoy al medio día a un can atrapado en el exterior del cajón de vías de la estación Nopalera, en el tramo elevado de la #Línea12 https://t.co/J0KLBwEbgz",linea12,Nopalera ,0
307,307,307,06-nov-19,23:33:23,"La red de #MICDMX permitirá el acceso con bicis 🚇🚎
@MetroCDMX y @MetrobusCDMX  a partir de las 17:00
@STE_CDMX a partir de las 18:00
@ecobici dará el doble de tiempo. Si aún no están inscritos, el 8 y 9 podrán registrarse y al recoger su membresía recibirán un llavero de regalo",,,1
